Temp,Humidity,Cloud Cover,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,avgjune,sub,flood
28,62,37,2412.2,16.0,187.9,2603.5,559.0,672.59,385.9,0
28,68,34,3063.4,6.3,223.6,2394.7,558.7,531.58,573.6,0
27,86,30,3545.3,33.3,207.5,3101.6,402.4,677.66,508.0,1
32,81,36,3817.8,66.8,348.4,3138.2,433.9,797.04,725.5,1
32,80,32,3561.4,7.9,234.3,1565.6,209.8,327.27,484.7,1
31,76,43,2206.6,34.6,398.0,2514.2,662.7,525.69,669.1,1
30,67,49,2748.6,89.1,386.8,2181.0,663.5,627.53,687.1,0
30,88,22,3812.6,38.5,174.5,3000.2,575.4,802.35,520.2,1
34,74,49,2157.2,16.0,425.6,2139.6,710.3,517.72,667.9,0
32,69,28,3073.8,11.8,167.4,1152.2,620.6,358.15,503.7,0
28,74,44,3289.7,44.3,243.0,2172.4,856.8,586.37,506.2,0
31,86,41,2078.9,41.4,317.9,3093.8,806.9,716.66,675.4,1
29,78,26,3976.3,29.7,386.4,2300.6,264.6,638.15,580.0,1
27,81,40,3021.5,13.6,284.3,3166.2,755.1,729.02,565.8,1
28,64,51,3840.1,88.1,347.1,1189.2,644.8,404.54,495.7,0
33,92,33,4122.3,69.0,405.3,2539.8,449.2,676.15,636.6,1
34,65,35,2361.7,33.1,367.7,1429.3,315.2,254.36,573.8,0
30,64,22,3949.1,10.1,238.1,2438.6,310.7,521.4,605.1,0
34,69,50,3818.7,20.4,185.9,1891.4,467.7,464.94,688.2,1
28,63,45,3620.5,72.9,190.4,1340.7,552.2,248.82,470.5,0
34,69,24,2907.8,78.1,353.6,1016.4,899.5,334.75,651.0,0
30,67,46,3014.1,22.4,298.4,1034.9,434.2,375.2,521.3,0
34,71,47,3541.5,66.8,439.8,2422.3,515.0,531.15,533.2,1
27,80,54,1952.4,31.0,168.6,1996.6,839.5,506.62,563.9,0
28,89,31,1971.3,9.8,468.9,1828.7,856.2,473.9,673.4,0
27,81,25,2848.1,54.2,343.4,3049.8,303.2,814.34,502.1,0
33,66,39,2943.1,83.9,496.2,921.4,615.9,245.47,436.8,0
30,78,36,2131.1,34.0,175.5,1461.9,363.7,350.64,623.2,0
31,81,53,1819.6,74.3,260.8,2425.8,854.2,518.68,582.7,1
28,85,55,2188.6,28.2,227.9,1688.6,665.6,506.85,730.1,0
31,90,23,2030.7,40.4,252.4,908.2,728.3,259.96,550.2,0
34,79,47,3202.3,13.6,499.7,2489.3,261.8,510.97,622.7,1
29,75,28,1904.6,35.4,495.2,3136.1,179.9,749.9,614.7,0
28,73,55,4010.3,38.9,379.6,1255.5,847.4,401.38,805.4,0
29,90,46,1862.0,67.3,272.9,3040.9,751.7,847.6,811.4,1
31,67,26,2756.4,7.3,324.2,1359.0,838.8,303.67,603.9,0
30,69,21,3450.1,38.3,253.1,1059.7,730.0,229.2,500.5,0
32,92,21,2088.4,87.5,216.1,3113.8,349.1,684.47,604.6,1
32,75,58,4260.6,13.9,482.8,1337.2,183.3,318.95,692.1,1
30,73,47,1974.9,61.1,272.2,1622.0,786.0,458.24,569.0,0
31,83,46,2615.5,64.0,355.1,1341.2,648.7,306.29,754.1,1
29,81,56,2552.4,51.1,150.2,1559.9,472.4,409.17,757.1,0
34,76,48,3489.1,48.0,443.7,3107.6,702.0,815.02,584.7,1
32,64,35,3482.0,23.3,223.7,956.2,333.6,233.08,633.9,0
28,76,46,4015.3,53.5,415.8,1783.2,449.7,361.22,697.5,0
28,86,47,2347.1,73.2,407.5,1968.5,568.1,592.32,586.8,0
29,87,49,3468.9,89.0,370.3,3085.1,818.6,798.31,780.1,1
33,88,55,2914.8,17.7,468.8,1935.2,713.8,565.37,678.2,1
34,82,35,2486.5,10.7,255.7,1524.9,389.8,390.86,519.5,0
30,74,29,3566.0,9.5,300.8,2148.0,461.8,466.64,534.8,0
27,89,56,2751.0,4.5,280.2,2633.0,790.1,767.07,730.4,1
30,77,34,2482.3,45.8,293.9,2438.4,748.6,663.4,698.5,0
29,81,54,1867.4,37.9,358.8,962.3,632.1,153.14,690.8,0
27,70,44,2618.4,43.1,274.9,2923.2,358.7,839.09,576.3,0
28,77,21,3672.6,8.5,502.2,1415.7,201.5,463.67,403.8,0
27,92,35,2298.4,5.8,206.4,1190.3,652.1,312.93,598.4,0
